Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
206778407,The Oxford Critical Guide to Homer's Iliad (Oxford Critical Guides),Jonathan L. Ready,"Ready, Jonathan L.",,"=""0198869878""","=""9780198869870""",1,2.50,Oxford University Press,Hardcover,328,2024,,,2025/08/30,,,read,"It isn't what i was expecting. I wanted to understand the illiad and its background, but this book only explains the plot and an inspid poetics analysis of each chapter/book of the Illiad. It's like reading a summary of the story, which was not what i was looking for. I expected to find an explanation of the Iliad idea of virtue, of the hero, of their cosmology, of their mythology, etc.<br/><br/>The book summary one can find in wikipedia is richer than the one of this book.",,,1,0
17335111,De la dignidad del hombre. Con dos apéndices: Carta a Hermolao Bárbaro y Del ente y el uno,Giovanni Pico della Mirandola,"Mirandola, Giovanni Pico della",Luis Martínez Gómez,"=""8427606532""","=""9788427606531""",0,3.71,Editora Nacional,Paperback,188,1984,1486,,2025/08/24,to-read,to-read (#7),to-read,,,,0,0
2639393,Los complejos y el inconsciente (Ciencias Sociales),C.G. Jung,"Jung, C.G.",Jesús López Pacheco,"=""8420639354""","=""9788420639352""",0,4.20,Alianza Editorial,Paperback,352,2008,1931,,2025/08/24,,,read,,,,1,0
650496,"The Rule of the Templars: The French Text of the Rule of the Order of the Knights Templar (Studies in the History of Medieval Religion, 7)",J.M. Upton-Ward,"Upton-Ward, J.M.",,"=""0851157017""","=""9780851157016""",5,3.77,BOYE6,Paperback,208,1997,1992,,2025/08/24,,,read,,,,1,0
13589182,Mastery,Robert Greene,"Greene, Robert",,"=""0670024961""","=""9780670024964""",4,4.26,Viking,Hardcover,318,2012,2012,,2025/08/24,,,read,"I like Robert's writing style. He uses his knowledge of classical history and evolution to create metaphors so that the reader may understand his ideas to a greater degree. I love that.<br/><br/>I read about 30% of the book, since it is in that part that Robert talks about mastery in the context of University/Work/etc., which is not useful for me in this moment, for I'm in the prior stage: Figuring out what subject to master. And this book was very helpful in helping me figure it out.<br/>I would have liked if he had picked different geniuses as examples of mastery, for I think some of the ones he picked are relevant and insightful, but I think many historical polymaths were better examples. Also, I think he had an opportunity to discuss mastery in a broader sense, and include subjects such as learning as a lifestyle, routines, mindsets, and other things that history's polymaths' lives can help us with.",,,1,0
44790144,"Memories, Dreams, Reflections: An Autobiography",C.G. Jung,"Jung, C.G.","Richard Winston, Anelia Jaffe","=""0007381638""","=""9780007381630""",3,4.17,William Collins,Kindle Edition,466,2019,1962,2025/01/01,2025/08/24,,,read,"Tough I disagree with Carl Jung, it was an rich and interesting reading.<br/><br/>Jung wrote extensively about his infancy, yet little about his adulthood, and it left me with a feeling of missing something, as if he didn't want to talk that much about his adult life, and that's why I give it 3 stars, because i was expecting to know more about his life, and I was met by an impoverishment of detail in events and details since the book started covering his adulthood period. Events shrank, and it feels like everything that regards his adulthood happened very quickly and vaguely, for it seems like he didn't want to talk about his adulthood. Ironically, he was very open about his fantasies and dreams, yet not about his life and study (at least in his biography)",,,1,0
1263977,The Leper King and his Heirs: Baldwin IV and the Crusader Kingdom of Jerusalem,Bernard Hamilton,"Hamilton, Bernard",,"=""052164187X""","=""9780521641876""",5,4.22,Cambridge University Press,Hardcover,316,2000,2000,,2025/08/24,,,read,,,,1,0
75353299,PLATON - Criton (French Edition),Platón,"Platón, Platón","Hope Edition, Victor Cousin","=""""","=""""",0,4.00,,Kindle Edition,21,2022,,,2025/08/24,,,read,,,,1,0
214745655,"The trial and death of Socrates: being the Euthyphron, Apology, Crito, and Phaedo of Plato",. Plato,"Plato, .",,"=""""","=""""",5,5.00,University of Toronto Libraries,Paperback,316,1880,,,2025/08/24,,,read,,,,1,0
196454976,Plato: Lysis. Symposium. Gorgias. (Loeb Classical Library No. 166) by Plato (1925) Hardcover,Unknown Author,"Author, Unknown",,"=""""","=""""",5,5.00,Harvard University Press,Hardcover,0,,,,2025/08/24,,,read,,,,1,0
